x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
103.5524,-2401.7368,7.0400,7.0600,-0.1195
107.5543,-2401.6671,7.0398,7.0601,-0.1196
111.5561,-2401.5981,7.0389,7.0610,-0.1197
115.5580,-2401.5309,7.0363,7.0637,-0.1198
119.5598,-2401.4665,7.0309,7.0691,-0.1199
123.5617,-2401.4059,7.0216,7.0785,-0.1201
127.5634,-2401.3502,7.0075,7.0926,-0.1203
131.5652,-2401.2998,6.9881,7.1122,-0.1205
135.5670,-2401.2552,6.9629,7.1374,-0.1208
139.5689,-2401.2164,6.9443,7.1557,-0.1214
143.5710,-2401.1825,6.9570,7.1431,-0.1220
147.5732,-2401.1515,6.9981,7.1048,-0.1234
151.5755,-2401.1201,7.0552,7.0543,-0.1257
155.5776,-2401.0842,7.1175,7.0022,-0.1287
159.5796,-2401.0391,7.1794,6.9543,-0.1321
163.5812,-2400.9800,7.2391,6.9126,-0.1358
167.5821,-2400.9016,7.2969,6.8767,-0.1398
171.5819,-2400.7981,7.3547,6.8454,-0.1424
175.5800,-2400.6635,7.4144,6.8158,-0.1463
179.5759,-2400.4917,7.4787,6.7853,-0.1500
183.5688,-2400.2769,7.5497,6.7519,-0.1533
187.5580,-2400.0141,7.6287,6.7143,-0.1562
191.5424,-2399.6987,7.7163,6.6714,-0.1585
195.5212,-2399.3266,7.8129,6.6229,-0.1600
199.4933,-2398.8941,7.9091,6.5769,-0.1603
203.4575,-2398.3978,7.9796,6.5580,-0.1609
207.4129,-2397.8360,8.0277,6.5653,-0.1614
211.3585,-2397.2080,8.0659,6.5863,-0.1618
215.2932,-2396.5138,8.1040,6.6101,-0.1621
219.2164,-2395.7541,8.1478,6.6307,-0.1624
223.1269,-2394.9301,8.1995,6.6458,-0.1626
227.0242,-2394.0430,8.2581,6.6560,-0.1628
230.9072,-2393.0942,8.3236,6.6618,-0.1630
234.7753,-2392.0853,8.3930,6.6646,-0.1631
238.6277,-2391.0177,8.4658,6.6654,-0.1633
242.4635,-2389.8926,8.5407,6.6654,-0.1634
246.2820,-2388.7107,8.6170,6.6651,-0.1635
250.0824,-2387.4723,8.6945,6.6646,-0.1636
253.8639,-2386.1778,8.7726,6.6646,-0.1636
257.6256,-2384.8275,8.8504,6.6649,-0.1636
261.3668,-2383.4216,8.9283,6.6650,-0.1637
265.0867,-2381.9604,9.0064,6.6651,-0.1637
268.7846,-2380.4443,9.0844,6.6650,-0.1637
272.4596,-2378.8735,9.1623,6.6648,-0.1637
276.1109,-2377.2483,9.2397,6.6644,-0.1636
279.7378,-2375.5692,9.3164,6.6644,-0.1636
283.3395,-2373.8364,9.3913,6.6648,-0.1635
286.9151,-2372.0505,9.4647,6.6650,-0.1635
290.4637,-2370.2118,9.5374,6.6650,-0.1634
293.9847,-2368.3208,9.6081,6.6650,-0.1633
297.4772,-2366.3778,9.6773,6.6648,-0.1632
300.9403,-2364.3833,9.7446,6.6645,-0.1631
304.3734,-2362.3378,9.8098,6.6645,-0.1630
307.7756,-2360.2418,9.8720,6.6649,-0.1629
311.1462,-2358.0955,9.9315,6.6652,-0.1628
314.4846,-2355.8996,9.9885,6.6653,-0.1627
317.7900,-2353.6545,10.0427,6.6652,-0.1626
321.0618,-2351.3607,10.0940,6.6650,-0.1624
324.2991,-2349.0187,10.1424,6.6647,-0.1623
327.5014,-2346.6290,10.1876,6.6646,-0.1622
330.6679,-2344.1920,10.2289,6.6650,-0.1621
333.7979,-2341.7084,10.2664,6.6652,-0.1620
336.8907,-2339.1787,10.3005,6.6653,-0.1618
339.9457,-2336.6034,10.3309,6.6652,-0.1617
342.9622,-2333.9832,10.3578,6.6650,-0.1616
345.9395,-2331.3186,10.3809,6.6647,-0.1615
348.8770,-2328.6101,10.4002,6.6646,-0.1614
351.7740,-2325.8584,10.4151,6.6650,-0.1613
354.6298,-2323.0641,10.4256,6.6652,-0.1612
357.4439,-2320.2278,10.4322,6.6653,-0.1611
360.2157,-2317.3502,10.4349,6.6652,-0.1611
362.9444,-2314.4317,10.4337,6.6651,-0.1610
365.6297,-2311.4731,10.4286,6.6647,-0.1609
368.2709,-2308.4751,10.4195,6.6646,-0.1609
370.8673,-2305.4381,10.4060,6.6650,-0.1609
373.4184,-2302.3630,10.3881,6.6652,-0.1609
375.9238,-2299.2504,10.3663,6.6654,-0.1608
378.3827,-2296.1010,10.3409,6.6653,-0.1603
380.7948,-2292.9154,10.3118,6.6650,-0.1594
383.1595,-2289.6944,10.2791,6.6648,-0.1579
385.4762,-2286.4387,10.2427,6.6647,-0.1560
387.7444,-2283.1490,10.2024,6.6652,-0.1545
389.9637,-2279.8261,10.1583,6.6656,-0.1519
392.1334,-2276.4707,10.1111,6.6658,-0.1488
394.2533,-2273.0836,10.0608,6.6658,-0.1454
396.3227,-2269.6656,10.0077,6.6656,-0.1417
398.3413,-2266.2174,9.9518,6.6653,-0.1376
400.3086,-2262.7398,9.8933,6.6652,-0.1333
402.2242,-2259.2335,9.8318,6.6655,-0.1303
404.0876,-2255.6991,9.7675,6.6657,-0.1255
405.8985,-2252.1376,9.7011,6.6658,-0.1205
407.6566,-2248.5494,9.6328,6.6657,-0.1154
409.3614,-2244.9355,9.5627,6.6654,-0.1100
411.0126,-2241.2965,9.4911,6.6650,-0.1046
412.6098,-2237.6332,9.4183,6.6647,-0.0990
414.1527,-2233.9463,9.3434,6.6650,-0.0952
415.6409,-2230.2366,9.2674,6.6651,-0.0895
417.0741,-2226.5050,9.1905,6.6651,-0.0837
418.4520,-2222.7524,9.1130,6.6650,-0.0780
419.7742,-2218.9795,9.0351,6.6648,-0.0722
421.0404,-2215.1873,8.9572,6.6644,-0.0665
422.2502,-2211.3767,8.8792,6.6641,-0.0608
423.4035,-2207.5485,8.8012,6.6644,-0.0571
424.4998,-2203.7036,8.7230,6.6647,-0.0516
425.5390,-2199.8429,8.6457,6.6648,-0.0462
426.5208,-2195.9673,8.5691,6.6647,-0.0410
427.4450,-2192.0776,8.4937,6.6645,-0.0360
428.3110,-2188.1745,8.4201,6.6638,-0.0312
429.1177,-2184.2589,8.3493,6.6617,-0.0266
429.8640,-2180.3315,8.2823,6.6581,-0.0237
430.5486,-2176.3932,8.2198,6.6511,-0.0196
431.1702,-2172.4449,8.1638,6.6396,-0.0158
431.7280,-2168.4873,8.1165,6.6229,-0.0123
432.2212,-2164.5214,8.0755,6.5998,-0.0092
